Geneid	VM-1	VM-2	VM-3	VM-4
YGR101W	615	394.33	590.5	565.17
YGL230C	39	86	49	151
YGR103W	4662.56	1724.25	5682.75	2361.02
YGR096W	524.98	293.12	495.24	359.8
YGR112W	577	286.83	603.67	486.79
tI(AAU)G	7	6	7	8
YGL013C	3647.11	2652.5	4049.58	3906.67
YGL076C	8361.05	4226.93	9161.38	5738.23
YGR067C	472.75	281.83	524.2	419.62
YGR094W	18944.5	8930.23	20089.74	12225.92
YGL226C-A	1519	1006	1702.33	1301.17
YGR045C	15.5	17.5	16.5	30.1
YGR175C	7155.83	5202.5	7322.22	7168.14
YGL008C	59461.92	18103.53	57375.36	23280.67
YGR115C	1.67	2.17	1.67	0.5
YGR108W	65	20.61	89.47	28.75
YGR218W	10378.33	6115.33	11613.96	8627.5
YGR205W	264.4	173.22	315.43	272.42
YGL073W	3170.58	2605.11	3739.38	3669.42
YGL009C	5473.81	3508.56	5795	4849.99
YGL095C	1573.64	1173	1950.25	1684.08
YGL137W	5760.62	3528.42	5976.17	4791.92
YGL214W	13.5	6	4	4
YGR105W	291	174.36	324.33	237
YGR001C	1823.5	1144.92	2026.33	1606.67
tK(UUU)G1	16.73	10.33	21.17	10.33
YGL217C	9	2	3	6
YGL173C	15062.5	8429.38	15383.33	11363.17
YGL086W	1273.9	646.75	1629.86	964.08
YGR223C	644.79	678.5	830.58	1088.59
tS(AGA)G	1	0.32	2.3	3.2
YGR077C	2762.28	2227.06	2826.18	2956.81
YGL052W	77.25	681.33	84	137.25
YGR285C	6232.92	2824.46	6158.5	3929.08
YGL080W	1056	1075.17	1423	1501.14
YGL207W	7006.21	4132.79	7155.35	5692.71
YGR261C	3325.24	5383.62	3958.17	7682.1
YGR226C	1.5	0.05	0	0
YGL140C	5060.45	3987	5469.75	5334.31
YGL078C	3137.5	1318.25	3978.16	1918.93
YGL199C	29	25	23	33
YGR164W	1	0	2.5	2
YGR150C	1708.5	684.76	2043.72	1039.65
YGL006W-A	143.67	118.25	166.75	176
